order_id,customer_id,restaurant_id,city,zone,cuisine_type,order_datetime,delivery_partner_id,delivery_time_minutes,promised_delivery_time_minutes,delivery_delay_flag,order_value,delivery_fee,discount_amount,packaging_charge,platform_commission,refund_amount,rating,payment_method,customer_tenure_group,repeat_customer_flag,acquisition_channel,order_status,distance_km,weather_condition,weekend_flag,festival_flag,gross_profit,profit_margin_pct,delay_minutes,discount_band,order_month
ORD-001290,CUST-00070,REST-0066,Hyderabad,Gachibowli,Cafe,2025-12-26 16:54:00,DP-0287,51,35,1,466.06,54.02,0.0,11.01,75.55,0.0,3.6,Card,4-12 months,1,Paid Search,Delivered,5.4,Hot,0,0,140.58,30.16,16,No Discount,2025-12
ORD-001923,CUST-00496,REST-0014,Bengaluru,Koramangala,Chinese,2025-12-24 17:04:00,DP-0253,45,55,0,358.92,35.59,53.84,23.53,73.82,0.0,3.8,Wallet,New,0,Social Media,Delivered,2.7,Clear,0,0,79.1,22.04,0,Medium,2025-12
ORD-001540,CUST-00170,REST-0130,Mumbai,Powai,Desserts,2025-11-05 21:27:00,DP-0073,46,35,1,250.78,49.5,50.16,28.08,49.88,0.0,3.1,Upi,New,0,Paid Search,Delivered,2.9,Heavy Rain,0,0,77.3,30.82,11,High,2025-11
ORD-002383,CUST-00823,REST-0173,Pune,Kothrud,Chinese,2025-12-20 20:55:00,DP-0228,66,30,1,210.22,46.43,21.02,11.8,36.16,0.0,3.7,Wallet,1-3 months,0,Paid Search,Delivered,4.2,Rain,1,0,73.37,34.9,36,Low,2025-12
ORD-000619,CUST-00177,REST-0133,Mumbai,Andheri,South Indian,2025-11-25 17:30:00,DP-0152,65,30,1,480.53,57.86,72.08,31.43,112.23,0.0,3.6,Card,1-3 months,0,App Campaign,Delivered,5.7,Clear,0,0,129.44,26.94,35,Medium,2025-11
ORD-001240,CUST-00670,REST-0120,Kolkata,Park Street,Desserts,2025-08-04 16:31:00,DP-0052,63,55,1,395.48,49.57,79.1,26.12,77.96,0.0,3.6,Upi,New,0,App Campaign,Delivered,5.8,Rain,0,0,74.55,18.85,8,High,2025-08
ORD-000389,CUST-00624,REST-0164,Pune,Hinjewadi,Desserts,2025-10-06 16:44:00,DP-0277,71,55,1,362.46,67.01,54.37,32.63,85.98,0.0,2.1,Card,1-3 months,0,Referral,Delivered,9.5,Clear,0,0,131.25,36.21,16,Medium,2025-10
ORD-002981,CUST-00403,REST-0122,Delhi Ncr,Noida,North Indian,2025-10-16 20:24:00,DP-0063,24,45,0,242.63,30.47,24.26,28.39,47.15,0.0,4.4,Upi,New,0,App Campaign,Delivered,1.2,Clear,0,0,81.75,33.69,0,Low,2025-10
ORD-001968,CUST-00448,REST-0164,Pune,Viman Nagar,Desserts,2025-07-02 23:00:00,DP-0224,43,50,0,364.33,60.56,18.22,10.11,79.4,0.0,3.8,Wallet,1-3 months,0,Referral,Delivered,6.1,Clear,0,0,131.85,36.19,0,Low,2025-07
ORD-002455,CUST-00068,REST-0154,Pune,Koregaon Park,Chinese,2025-12-24 10:42:00,DP-0229,47,35,1,682.26,40.33,68.23,23.99,109.78,0.0,3.8,Card,12+ months,1,Referral,Delivered,4.0,Clear,0,0,105.87,15.52,12,Medium,2025-12
ORD-003005,CUST-00366,REST-0010,Delhi Ncr,Dwarka,Pizza,2025-12-16 19:30:00,DP-0229,64,30,1,238.35,85.67,71.5,27.11,43.57,0.0,4.9,Upi,New,1,App Campaign,Delivered,10.7,Clear,0,0,84.85,35.6,34,High,2025-12
ORD-001241,CUST-00577,REST-0086,Chennai,Omr,Chinese,2025-09-17 15:24:00,DP-0236,55,50,1,429.16,47.01,64.37,30.8,102.0,0.0,3.8,Cash,New,0,Referral,Delivered,3.6,Rain,0,0,115.44,26.9,5,Medium,2025-09
ORD-000843,CUST-00472,REST-0131,Mumbai,Bandra,Healthy,2025-08-18 13:46:00,DP-0048,50,35,1,802.71,29.73,40.14,9.15,182.64,0.0,3.6,Wallet,1-3 months,1,Referral,Delivered,1.4,Rain,0,0,181.38,22.6,15,Low,2025-08
ORD-001906,CUST-00526,REST-0125,Kolkata,Park Street,Pizza,2025-11-13 17:24:00,DP-0171,44,50,0,585.26,47.05,87.79,24.48,116.02,0.0,4.1,Upi,4-12 months,1,Referral,Delivered,5.2,Clear,0,0,99.76,17.05,0,Medium,2025-11
ORD-002634,CUST-00594,REST-0173,Pune,Hinjewadi,Chinese,2025-07-06 16:36:00,DP-0222,54,35,1,314.49,35.25,47.17,19.52,66.44,0.0,3.9,Upi,1-3 months,0,Paid Search,Delivered,2.2,Rain,1,0,74.04,23.54,19,Medium,2025-07
ORD-001366,CUST-00443,REST-0065,Pune,Koregaon Park,Cafe,2025-08-30 22:04:00,DP-0307,56,55,1,235.29,74.63,11.76,8.25,38.95,0.0,3.6,Cash,4-12 months,0,Paid Search,Delivered,8.8,Clear,1,0,110.07,46.78,1,Low,2025-08
ORD-001730,CUST-00744,REST-0058,Delhi Ncr,Dwarka,Healthy,2025-12-10 09:08:00,DP-0211,180,35,1,917.7,64.59,183.54,11.23,191.52,0.0,3.8,Card,New,0,Paid Search,Delivered,8.4,Hot,0,0,83.8,9.13,145,Medium,2025-12
ORD-000214,CUST-00347,REST-0081,Hyderabad,Banjara Hills,Desserts,2025-10-20 09:02:00,DP-0144,62,55,1,212.48,31.86,42.5,16.22,46.62,0.0,2.7,Card,New,1,Social Media,Delivered,1.6,Cloudy,0,1,52.2,24.57,7,High,2025-10
ORD-001509,CUST-00618,REST-0036,Mumbai,Bandra,Biryani,2025-08-11 11:34:00,DP-0254,66,45,1,1006.8,78.66,50.34,26.88,238.25,0.0,4.1,Card,12+ months,1,App Campaign,Delivered,6.8,Heavy Rain,0,0,293.45,29.15,21,Low,2025-08
ORD-002978,CUST-00108,REST-0151,Mumbai,Bandra,Pizza,2025-10-13 19:55:00,DP-0031,46,30,1,484.81,39.93,0.0,16.98,98.61,0.0,3.9,Wallet,12+ months,0,Organic,Delivered,3.4,Clear,0,0,155.52,32.08,16,No Discount,2025-10
ORD-000382,CUST-00432,REST-0110,Bengaluru,Electronic City,North Indian,2025-11-29 08:29:00,DP-0001,62,50,1,268.7,45.34,80.61,28.68,60.22,0.0,3.4,Card,1-3 months,1,Organic,Delivered,4.3,Rain,1,0,53.63,19.96,12,High,2025-11
